Data,Gold spot price
12/1978,10000
01/1979,10485.354545863223
02/1979,11330.061914822438
03/1979,10822.698918678325
04/1979,11181.144220649852
05/1979,12655.830314436029
06/1979,12641.30483676145
07/1979,13021.765580489895
08/1979,13884.010396038653
09/1979,17315.928285732913
10/1979,16724.15700335673
11/1979,18125.753795494482
12/1979,22340.743253868506
01/1980,27568.71358025448
02/1980,27145.205515054644
03/1980,22193.133006653297
04/1980,23528.511246793627
05/1980,23272.264781184385
06/1980,27987.286923426138
07/1980,25983.145023529
08/1980,27235.35515702091
09/1980,28701.982852224202
10/1980,27761.31125729345
11/1980,28314.791711310303
12/1980,27784.679588526375
01/1981,23946.75333145678
02/1981,24696.172769881432
03/1981,25965.49843162179
04/1981,25048.940991647734
05/1981,26388.401266826793
06/1981,24356.408270214128
07/1981,23922.11739118159
08/1981,25723.0639560484
09/1981,24773.952203830977
10/1981,23944.090957947505
11/1981,22995.591333314533
12/1981,22498.37669630132
01/1982,22101.713933139443
02/1982,21400.09924256838
03/1982,19232.34015814002
04/1982,22048.542947164107
05/1982,19175.33223295302
06/1982,19806.773186266473
07/1982,21852.113001899834
08/1982,26386.605267274514
09/1982,25697.4654453682
10/1982,27723.45632100381
11/1982,29039.257217466995
12/1982,28612.691352437196
01/1983,31679.433550957485
02/1983,26385.79990714296
03/1983,26926.486309912696
04/1983,28271.434808514623
05/1983,28996.556901355587
06/1983,28418.418110593182
07/1983,29221.367644264075
08/1983,29616.87172709642
09/1983,28975.937473377566
10/1983,26882.247746735065
11/1983,29264.528740601145
12/1983,28266.936546789682
01/1984,28315.826835150034
02/1984,28954.654016214587
03/1984,27517.61117488058
04/1984,27090.351532813707
05/1984,28729.170805905782
06/1984,27888.360367617046
07/1984,26560.98956191592
08/1984,27324.85891638211
09/1984,28248.350552739354
10/1984,27906.517055720742
11/1984,26812.082403368462
12/1984,26120.625509806116
01/1985,26617.306424594735
02/1985,25910.45805090065
03/1985,29717.58122142767
04/1985,27001.055102008446
05/1985,26570.31109844119
06/1985,26421.711481965813
07/1985,25906.881495878475
08/1985,25459.547138288064
